num, name, organism, type, Dataset, Platforms, samples, series
4360,Tissue-specific genetic regulation of splicing and expression (gene-level),Homo sapiens,Expression profiling by array,NoData,GPL5175,173,GSE30453,GSE30453
4361,Inhibition of nonsense-mediated RNA decay by the tumor microenvironment promotes tumorigenesis,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE30499,GSE30499
4362,Expression data in cancer cell lines using Affymetrix GeneChip,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE30494,GSE30494
4363,Tissue-specific genetic regulation of splicing and expression,Homo sapiens,Expression profiling by array,NoData,GPL5188 GPL5175,346,GSE30483,GSE30483
4364,PHD finger recognition of unmodified histone H3R2 links UHRF1 to regulation of euchromatic gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE30478,GSE30478
4365,Foxa1 Reduces Lipid Accumulation in Human Hepatocytes and Is Down-regulated in Nonalcoholic Fatty Liver,Homo sapiens,Expression profiling by array,NoData,GPL6244,24,GSE30451,GSE30451
4366,Foxa1 Reduces Lipid Accumulation in Human Hepatocytes and Is Down-regulated in Nonalcoholic Fatty Liver (hepatocytes data),Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE30450,GSE30450
4367,Foxa1 Reduces Lipid Accumulation in Human Hepatocytes and Is Down-regulated in Nonalcoholic Fatty Liver (HepG2 data),Homo sapiens,Expression profiling by array,NoData,GPL6244,16,GSE30447,GSE30447
4368,"Anaplastic lymphoma kinase (ALK) inhibitor response in neuroblastoma is highly correlated with ALK mutation status, ALK mRNA and protein levels.",Homo sapiens,Expression profiling by array,NoData,GPL570,17,GSE22771,GSE22771
4369,Expression profiling of human T-LL cell line CUTLL1,Homo sapiens,Expression profiling by array,GDS4289,GPL570,45,GSE29544,GSE29544
4370,Expression data from human Wharton's jelly stem cells,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE30391,GSE30391
4371,Determinants of sensitivity to DZNep induced apoptosis in multiple myeloma cells,Homo sapiens,Expression profiling by array,GDS4288,GPL570,8,GSE26921,GSE26921
4372,Gene expression profiling of prostate epithelial cells in response to tissue contextual changes,Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE30304,GSE30304
4373,Changes in follistatin levels by BRCA1 may serve as a regulator of ovarian carcinogenesis,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE30296,GSE30296
4374,A Novel Pro-Survival Function of Cyclin-D1 Underlies Its Oncogenic Role and Potential as a Therapeutic Target in Human and Murine Mantle Cell Lymphoma,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE25613,GSE25613
4375,Reversal of Atopic Dermatitis with Narrow-Band UVB Phototherapy and Biomarkers for Therapeutic Response,Homo sapiens,Expression profiling by array,GDS4444,GPL570,35,GSE27887,GSE27887
4376,"Expression data for MCF-7 treated with PolII inhibitors, Triptolide or alpha-amanitin",Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE28444,GSE28444
4377,Expression data for knockdown of POLRMT or RNA PolII in MCF-7 cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE28503,GSE28503
4378,Expression data for HUVSMC treated with Triptolide,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE28502,GSE28502
4379,Blood genomic expression profile for Behçet’s disease.,Homo sapiens,Expression profiling by array,NoData,GPL570,29,GSE17114,GSE17114
4380,Gene expression of induced neural stem cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE27667,GSE27667
4381,Transcription of muscle actin genes by a nuclear form of mitochondrial RNA polymerase,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE30350,GSE30350
4382,DMSO control and DZNep treated MOLM-14 cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE30315,GSE30315
4383,Expression data from peripheral blood mononuclear cells in multiple sclerosis patients and controls,Homo sapiens,Expression profiling by array,GDS3920,GPL570,29,GSE21942,GSE21942
4384,"hsa-miR-191, a potential target for  Hepatocellular carcinoma therapy",Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL10676 GPL10651 GPL6244,8,GSE22910,GSE22910
4385,Functional analyses of miR-210 involvement in the aggressive phenotype of high grade breast tumors,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE25162,GSE25162
4386,Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL570,10,GSE27556,GSE27556
4387,ChIP-seq defined genome-wide map of TGFbeta/SMAD4 targets: implications with clinical outcome of ovarian cancer patients,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL570 GPL10999,9,GSE27526,GSE27526
4388,Stimulation of BL2 cell line with lipopolysaccharide (LPS) for 6h,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29700,GSE29700
4389,Impact of miR-132 and miR-381 on endogenous forskolin responsive CREB targets in HEK293T cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,18,GSE24812,GSE24812
4390,Expression data from interleukin-stimulated HUVEC,Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE22325,GSE22325
4391,Differential gene expression in SN12C.19 renal cells with insertion of the chromosomal 3p arm,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE22781,GSE22781
4392,Affymetrix Arrays Interrogated with Tumor/Normal Pancreatic Samples,Homo sapiens,Expression profiling by array,NoData,GPL570,16,GSE22780,GSE22780
4393,Gene expression after treatment with anti-miR-191 or control,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE22790,GSE22790
4394,Differentiation of NUT midline carcinoma by epigenomic reprogramming,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE18668,GSE18668
4395,"Expression in Huh7 cells 72 hours after treatment with scramble, SPTLC123, or DEGS siRNA",Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE28059,GSE28059
4396,Global gene-expression profiles analysis of iPSCs,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE30220,GSE30220
4397,Expression of HOXB genes is significantly different in acute myeloid leukemia with a partial tandem duplication of MLL vs. a MLL translocation: a cross-laboratory study,Homo sapiens,Expression profiling by array,GDS4277,GPL570,25,GSE15013,GSE15013
4398,Smoking-induced Disarray of the Apical Junctional Complex Gene Expression Architecture in the Human Airway Epithelium,Homo sapiens,Expression profiling by array,NoData,GPL570,135,GSE20257,GSE20257
4399,Pneumococcal conjugate vaccination at birth induces robust recall responses at 9 months of age.,Homo sapiens,Expression profiling by array,NoData,GPL6244,20,GSE25263,GSE25263
4400,Microarray Expression Analysis of 3 Canonical Toxoplasma infections of human neuroepithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL5175,18,GSE22986,GSE22986
4401,B cell signature during inactive systemic lupus,Homo sapiens,Expression profiling by array,GDS4193,GPL570,26,GSE30153,GSE30153
4402,Establishment of human trophoblast progenitor cell lines from the chorion,Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE30127,GSE30127
4403,Exon array analysis in primary human fibroblasts,Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL5188,34,GSE28863,GSE28863
4404,Expression data from breast samples of postmenopausal women,Homo sapiens,Expression profiling by array,NoData,GPL570,107,GSE30010,GSE30010
4405,Effect of TGF-B treatment on human vascular smooth muscle cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,24,GSE30004,GSE30004
4406,Gene expression profiling of MCF10A (miR-221/222 vs control),Homo sapiens,Expression profiling by array,GDS4797,GPL570,6,GSE29327,GSE29327
4407,GATA2 in human vascular endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE28304,GSE28304
4408,Identification of inflammatory gene modules based on variations of human endothelial cell responses to oxidized lipids,Homo sapiens,Expression profiling by array,NoData,GPL570,72,GSE29903,GSE29903
4409,"Deregulated apoptosis signaling in core binding factor leukemia differentiates clinically relevant, molecular marker independent subgroups",Homo sapiens,Expression profiling by array,GDS4285,GPL570,12,GSE29883,GSE29883
4410,Human endothelial gene expression under estradiol and oxLDL treatments,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE29881,GSE29881
4411,Gene-chip studies of adipogenesis-regulated microRNAs in mouse primary adipocytes and human obesity,Murid herpesvirus 4; Mus musculus; Human herpesvirus 1; JC polyomavirus; Simian virus 40; Human immunodeficiency virus 1; Human herpesvirus 8; Rattus norvegicus; Human herpesvirus 5; BK polyomavirus; Homo sapiens; Murid herpesvirus 1; Human herpesvirus 4,Non-coding RNA profiling by array; Expression profiling by array,GDS3961,GPL13273 GPL570,45,GSE27951,GSE27951
4412,The Human Airway Epithelial Basal Cell Transcriptome,Homo sapiens,Expression profiling by array,NoData,GPL570,17,GSE24337,GSE24337
4413,FN1 expression is a marker of radioresistance in head and neck squamous cell carcinoma,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE21644,GSE21644
4414,Comparative gene expression in the human conjunctiva and cornea,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29402,GSE29402
4415,Identification of Notch targets in human endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29850,GSE29850
4416,Expression data from pure/mixed blood and breast to test feasability of deconvolution of clinical samples,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE29832,GSE29832
4417,Cell-type-specific target selection by combinatorial binding of Smad2/3 and hepatocyte nuclear factor 4-alpha in HepG2 cells,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by genome tiling array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL5082 GPL9115 GPL570,11,GSE28798,GSE28798
4418,Expression Data from 226 patients of the REMAGUS02 trial,Homo sapiens,Expression profiling by array,NoData,GPL570,226,GSE26639,GSE26639
4419,Effect of fasting on human skeletal muscle mRNA levels,Homo sapiens,Expression profiling by array,NoData,GPL5175,14,GSE28016,GSE28016
4420,Expression data of the human hepatoblastoma cell line HepG2 treated with TGF-beta,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE28590,GSE28590
4421,MICROARRAY-BASED GENE EXPRESSION ANALYSIS OF HUMAN OSTEOBLASTS IN RESPONSE TO ROUGHNESS AND FLUORIDE TREATMENT OF TITANIUM IMPLANTS,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE22217,GSE22217
4422,CLN3 patients with differing progression of the disease,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE22225,GSE22225
4423,Analysis of Human Tendinopathy Gene Expression,Homo sapiens,Expression profiling by array,GDS4901,GPL570,46,GSE26051,GSE26051
4424,MicroRNA sequence and expression analysis in breast tumors by deep sequencing,Homo sapiens,Non-coding RNA profiling by high throughput sequencing; Expression profiling by array,NoData,GPL10999 GPL3676,406,GSE28884,GSE28884
4425,Coexpression of Normally Incompatible Developmental Pathways in Retinoblastoma Genesis,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL1261 GPL570,214,GSE29686,GSE29686
4426,Coexpression of Normally Incompatible Developmental Pathways in Retinoblastoma Genesis [single tumor cell data],Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE29684,GSE29684
4427,Coexpression of Normally Incompatible Developmental Pathways in Retinoblastoma Genesis [human tumor/cell line data],Homo sapiens,Expression profiling by array,NoData,GPL570,62,GSE29683,GSE29683
4428,microRNAs-449 control vertebrate multi-ciliogenesis by repressing Notch signalling,Homo sapiens; Xenopus laevis,Non-coding RNA profiling by array; Expression profiling by array; Non-coding RNA profiling by high throughput sequencing,NoData,NoData,64,GSE22147,GSE22147
4429,Transcriptomic impact of microRNAs-449 or microRNAs-34 overexpression in proliferating human airway epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,18,GSE22143,GSE22143
4430,Transcriptome analysis during the time course of regeneration of the human airway mucociliary epithelium,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE22142,GSE22142
4431,The landscape of promoter DNA hypomethylation in liver cancer,Homo sapiens,Methylation profiling by genome tiling array; Expression profiling by array,NoData,GPL13685 GPL570,50,GSE29722,GSE29722
4432,The landscape of promoter DNA hypomethylation in liver cancer (expression data),Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE29721,GSE29721
4433,An early inflammatory gene profile in visceral adipose tissue in children,Homo sapiens,Expression profiling by array,GDS4276,GPL6244,20,GSE29718,GSE29718
4434,Molecular Mechanisms of Bortezomib Resistant Adenocarcinoma cells,Homo sapiens,Genome variation profiling by genome tiling array; Expression profiling by array,NoData,GPL570 GPL8736,10,GSE29713,GSE29713
4435,Molecular Mechanisms of Bortezomib Resistant Adenocarcinoma cells [GEP data],Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29712,GSE29712
4436,Regulation of gene expression in ALK inhibitor CH5424802-treated NCI-H2228 xenograft tumors,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE25118,GSE25118
4437,Human iPSCs derived under feeder free conditions displays an unqiue cell cycle and DNA replication genotype,Homo sapiens,Expression profiling by array,NoData,GPL6244,21,GSE21655,GSE21655
4438,Activator protein-2γ is a critical determinant of estrogen receptor interactome formation and gene transcription in breast cancer,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL9115 GPL6883,10,GSE26741,GSE26741
4439,mRNA Content of Human Sperm,Homo sapiens,Expression profiling by array,NoData,GPL6244,18,GSE26881,GSE26881
4440,Gene expression data from chronic lymphocytic leukemia samples,Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE29605,GSE29605
4441,"Sema4A, a novel serum marker of multiple sclerosis, implicates Th17 pathology and efficacy of interferon-β.",Homo sapiens,Expression profiling by array,GDS4152,GPL570,10,GSE26484,GSE26484
4442,Microarray analysis of the astrocyte transcriptome in the ageing brain: relationship to Alzheimer's pathology and ApoE genotype,Homo sapiens,Expression profiling by array,GDS4135,GPL570,18,GSE29652,GSE29652
4443,Integrative DNA methylation and gene expression analyses identify DNA packaging and epigenetic regulatory genes associated with low motility sperm,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL8490 GPL6244,39,GSE26982,GSE26982
4444,Patterns of gene expression and evolution in the human developing cerebral cortex,Homo sapiens,Expression profiling by array,GDS4532,GPL570,8,GSE21858,GSE21858
4445,Comparison of the RNA expression profile between P-cadherin over-expressing BLM melanoma cells and empty-vector control cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE23360,GSE23360
4446,Human Large Airway Epithelial Cells from healthy never and current smoker and smokers with and without lung cancer,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,GPL13447 GPL10999,21,GSE29007,GSE29007
4447,FZD7 Plays a Critical Role in Triple Negative Breast Cancer Proliferation,Homo sapiens,Expression profiling by array,GDS4069,GPL6244,19,GSE27447,GSE27447
4448,A phenotype-based model for rational selection of novel targeted therapies in treating aggressive breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,14,GSE18331,GSE18331
4449,Gene expression profiles based on Pulmonary Artery Pressures in Pulmonary Fibrosis,Homo sapiens,Expression profiling by array,GDS4549,GPL6244,116,GSE24988,GSE24988
4450,Combination of ABT-869 with SAHA on AML with FLT3-ITD,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE26114,GSE26114
4451,Human bone marrow-derived mononuclear cells (BMMC): rheumatoid arthritis vs. osteoarthritis,Homo sapiens,Expression profiling by array,NoData,GPL570,19,GSE27390,GSE27390
4452,Expression data from parthenogenetic and WT iPS samples and their parental fibroblasts,Homo sapiens,Expression profiling by array,NoData,GPL6244,14,GSE27362,GSE27362
4453,Human CD34+-derived erythoblast (polychromatophilic and orthochromatic) response to co-culture with Plasmodium falciparum 3D7,Homo sapiens,Expression profiling by array,NoData,NoData,28,GSE24849,GSE24849
4454,Gene-chip studies of adipogenesis-regulated microRNAs in mouse primary adipocytes and human obesity (Affymetrix),Homo sapiens,Expression profiling by array,NoData,GPL570,33,GSE27949,GSE27949
4455,Galectin-3 regulates the expression of various genes in human gastric cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE29630,GSE29630
4456,The novel antisense Bcl-2 inhibitor SPC2996 causes rapid leukemic cell clearance and immune activation in chronic lymphocytic leukemia,Homo sapiens,Expression profiling by array,GDS4284,GPL570,56,GSE27858,GSE27858
4457,Expression data from Notch-activated CD34+CD45RA-Lin- hematopoietic progenitor cells (HPCs) transduced with nuclear-trapped AF1q/MLLT11 (A2M),Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29524,GSE29524
4458,Expression data from human CD34+ HPC subpopulations transduced with nuclear-trapped AF1q/MLLT11 (A2M),Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE29523,GSE29523
4459,Antagonistic regulation of EMT by TIF1γ and Smad4 in mammary epithelial cells,Homo sapiens,Expression profiling by array,GDS4071,GPL570,11,GSE28448,GSE28448
4460,Functional evidence that Drosha over-expression in cervical squamous cell carcinoma affects cell phenotype and microRNA profiles,Homo sapiens; Human herpesvirus 5; Rhadinovirus; JC polyomavirus; Human immunodeficiency virus 1; Merkel cell polyomavirus; Human herpesvirus 1; Lymphocryptovirus; BK polyomavirus; Simian virus 40; Human herpesvirus 2,Non-coding RNA profiling by array; Expression profiling by array,NoData,GPL11338 GPL570,24,GSE26177,GSE26177
4461,The mRNA and microRNA expression profile of the RNA-induced silencing complex in human U-87 astrocytoma cells and primary human astrocytes,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array; Other,NoData,GPL10358 GPL570,8,GSE21514,GSE21514
4462,Functional evidence that Drosha over-expression in cervical squamous cell carcinoma affects cell phenotype and microRNA profiles [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE26176,GSE26176
4463,Isolation and characterization of a metastatic hybrid cell line generated by ER negative and ER positive breast cancer cells in mouse bone marrow,Homo sapiens,Expression profiling by array,GDS4067,GPL570,9,GSE27515,GSE27515
4464,Role of REG 1 in Entamoeba histolytica colitis,Homo sapiens,Expression profiling by array,GDS4374,GPL6244,16,GSE23750,GSE23750
4465,Identification of Novel Therapeutic Targets in Microdissected Clear Cell Ovarian Cancers,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE29450,GSE29450
4466,Expression data from CD11cHI and CD11cLO decidual macrophage populations.,Homo sapiens,Expression profiling by array,NoData,GPL570,16,GSE22342,GSE22342
4467,Two phases of mitogenic signaling unveil roles for p53 and EGR1 in elimination of inconsistent growth signals,Homo sapiens,Expression profiling by array,GDS4362,GPL6244,17,GSE27629,GSE27629
4468,Expression profiling of host genes modulated by Epstein-Barr virus Rta in nasopharyngeal carcinoma cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,3,GSE24586,GSE24586
4469,Expression profiling of host genes modulated by Epstein-Barr virus (EBV) Rta in HEK293 cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE24585,GSE24585
4470,Expression data from human embryonic stem cells (hESCs) and Activin-induced/derived cells,Homo sapiens,Expression profiling by array,NoData,GPL5175,16,GSE29421,GSE29421
4471,MCF7 tet-off cells treated or not with 80 ng/ml doxycycline for 12d,Homo sapiens,Expression profiling by array,NoData,GPL2986,4,GSE13926,GSE13926
4472,Time-course effect of APRIL on gene expression in HepG2 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE29375,GSE29375
4473,Exon level expression profiling of colorectal cancer tissue samples,Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL11028,333,GSE24551,GSE24551
4474,Exon level expression profiling of colorectal cancer tissue samples (validation sample series).,Homo sapiens,Expression profiling by array,NoData,GPL11028 GPL5175,167,GSE24550,GSE24550
4475,Exon level expression profiling of colorectal cancer tissue samples (test sample series).,Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL11028,166,GSE24549,GSE24549
4476,Expression data from human squamous cell lung cancer line HARA and highly bone metastatic subline HARA-B4.,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE29367,GSE29367
4477,"Gene expression profiles of MCF-7 cells treated with Si-Wu-Tang, estradiol and ferulic acid",Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE23610,GSE23610
4478,Expression data from colon fibroblasts treated with Sonic hedgehog homolog (SHH),Homo sapiens,Expression profiling by array,GDS4512,GPL570,6,GSE29316,GSE29316
4479,Exon-Level Expression Data from Primary Human B Cells and Lymphoblastoid Cell Lines (LCLs) on HuEx and U133 2.0 plus Platforms,Homo sapiens,Expression profiling by array,NoData,GPL5188 GPL570,16,GSE29301,GSE29301
4480,Gene expression profiles after knockdown of Nardilysin in TMK-1 gastric cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE29144,GSE29144
4481,Bone morphogenetic protein-7 is a MYC target with pro-survival functions in childhood medulloblastoma,Homo sapiens,Expression profiling by array,GDS4466,GPL570,18,GSE22139,GSE22139
4482,Reprogramming Transcriptional Responses through Functionally-Distinct Classes of Enhancers in Prostate Cancer Cells,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,NoData,GPL9115 GPL6102,42,GSE27824,GSE27824
4483,Canonical NF-kB Activation is Essential for Epstein-Barr Virus Latent Membrane Protein 1 TES2/CTAR2 Gene Regulation.,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE29297,GSE29297
4484,RAP1A signaling in Leishmania donovani infected macrophages,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29246,GSE29246
4485,Under conditions of hormonal adjuvant treatment the estrogen receptor apoprotein supports breast cancer cell cycling through the retinoic acid receptor α1 apoprotein,Homo sapiens,Expression profiling by array,GDS4065,GPL570,12,GSE26298,GSE26298
4486,Tissue Specific Pathways for Estrogen Regulation of Ovarian Cancer Growth and Metastasis,Homo sapiens,Expression profiling by array,GDS4066,GPL570,15,GSE22600,GSE22600
4487,Transcriptional and post-transcriptional regulation of VEGF by the unfolded protein response,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE21979,GSE21979
4488,Expression data from knockdown of BACH1 in HEK 293T cells,Homo sapiens,Expression profiling by array,NoData,GPL570,25,GSE28050,GSE28050
4489,Role of BACH1 in HEK 293T cells,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL570 GPL9052,27,GSE28053,GSE28053
4490,Controlled ErbB receptor dimerization,Homo sapiens,Expression profiling by array,GDS4361,GPL6244,12,GSE22288,GSE22288
4491,Discovery of salivary transcriptomic biomarkers for ovarian cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE29220,GSE29220
4492,Identification of androgen-regulated genes in RWPE-1-AR cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE29232,GSE29232
4493,Mutant thyroid hormone receptors (TRs) isolated from distinct cancer types display distinct target gene specificities: a unique regulatory repertoire associated with renal clear cell  carcinomas.,Homo sapiens,Expression profiling by array,GDS3945,GPL6244,42,GSE29159,GSE29159
4494,Prototypes for 4x44K PAM50 Subtyping,Homo sapiens,Expression profiling by array,NoData,GPL6480,40,GSE26082,GSE26082
4495,Numb variant specific transcriptome analysis,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE29137,GSE29137
4496,The Notch/Hes1 pathway sustains NF-κB activation through CYLD repression in T cell leukemia,Homo sapiens,Expression profiling by array,GDS4213,GPL570,20,GSE20667,GSE20667
4497,A Pathobiological Role of the Insulin Receptor in CLL.,Homo sapiens,Expression profiling by array,GDS4212,GPL570,19,GSE26526,GSE26526
4498,Characterisation of Myocardial Infarction and Unstable Angina with mRNA Profiles from Whole Blood of individual patients,Homo sapiens,Expression profiling by array,NoData,GPL570,52,GSE29111,GSE29111
4499,Expression Data from HNF4a RNAi Knockdown in HepG2 cells,Homo sapiens,Expression profiling by array,GDS4798,GPL570,4,GSE29084,GSE29084
4500,Differentially regulated splice variants and systems biology analysis of Kaposi's Sarcoma-associated Herpesvirus-infected lymphatic endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL5188,10,GSE26341,GSE26341
4501,Assessment of genotoxic effects and changes in gene expression in humans exposed to formaldehyde by inhalation under controlled conditions,Homo sapiens,Expression profiling by array,NoData,GPL570,92,GSE27263,GSE27263
4502,Xenograft model systems of adenoid cystic carcinoma,Homo sapiens,Expression profiling by array,GDS3977,GPL570,22,GSE28996,GSE28996
4503,Deep sequencing reveals distinct patterns of DNA methylation and transcript isoform regulation in prostate cancer,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array; Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing,NoData,NoData,39,GSE27619,GSE27619
4504,Gene expression profiling of low-grade fibromyxoid sarcoma (LGFMS),Homo sapiens,Expression profiling by array,NoData,GPL6244,42,GSE24369,GSE24369
4505,The response to ionizing radiation at the exon level,Homo sapiens,Expression profiling by array,NoData,GPL5175,132,GSE26841,GSE26841
4506,Expression data from metadherin (MTDH) knockdown in the Ishikawa H endometrial cancer cell line,Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE27828,GSE27828
4507,Gene expression in minor salivary gland of patients with Sjogren's syndrome (SS) and control,Homo sapiens,Expression profiling by array,GDS3940,GPL570,15,GSE23117,GSE23117
4508,Expression data from MCF7 cell line after silencing of Estrogen receptor,Homo sapiens,Expression profiling by array,GDS4061,GPL570,6,GSE27473,GSE27473
4509,Comparing Control and Schizophrenic hiPSC-derived Neurons,Homo sapiens,Expression profiling by array,GDS3938,GPL6244,24,GSE25673,GSE25673
4510,mRNA expression data from human adenocarcinomas of the stomach,Homo sapiens,Expression profiling by array,NoData,GPL570,43,GSE22377,GSE22377
4511,CREB3L1 Target Genes in Response to Hepatitis C Replicon Infection,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE25157,GSE25157
4512,Host Factors with Reduced Expression in Two HCV Permissive Cell Lines as Compared to the Non-Permissive Parent Cell Line Huh7,Homo sapiens,Expression profiling by array,GDS4392,GPL570,4,GSE25156,GSE25156
4513,Site-specific heterogeneity of melanocytes in human skin,Homo sapiens,Expression profiling by array,NoData,GPL6244,13,GSE24041,GSE24041
4514,IL-4 mediated gene expression profiles in vascular endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,13,GSE28117,GSE28117
4515,pcaGoPromoter - An R package for functional interpretation of principal component analysis of genome-wide gene expression data,Homo sapiens,Expression profiling by array,NoData,GPL570,13,GSE27071,GSE27071
4516,"Expression data from cell lines originating from patients with multiple myeloma, plasmacytoma and diffuse large B-cell lymphoma",Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE22759,GSE22759
4517,Human Skin Transcriptome during Epidermal Wound Healing,Homo sapiens,Expression profiling by array,NoData,GPL570,25,GSE28914,GSE28914
4518,Expression data from non-malignant fallopian tube epithelium,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE28044,GSE28044
4519,Laser-capture microdissected invasive micropapillary carcinomas of the breast,Homo sapiens,Expression profiling by array,NoData,GPL570,89,GSE28821,GSE28821
4520,Gene Expression in early and advanced atherosclerotic plaque from human carotid,Homo sapiens,Expression profiling by array,NoData,GPL570,29,GSE28829,GSE28829
4521,Microarray-based molecular subtyping of breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,327,GSE20685,GSE20685
4522,Isolation and characterization of stem-like cells from a human ovarian cancer cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE28799,GSE28799
4523,Integrated miRNA-mRNA-analysis of human monocyte derived macrophages upon Mycobacterium avium subsp. hominissuis infection,Human herpesvirus 1; Simian virus 40; Human herpesvirus 8; BK polyomavirus; Rattus norvegicus; Human herpesvirus 5; JC polyomavirus; Homo sapiens; Mus musculus; Murid herpesvirus 1; Human herpesvirus 4; Human immunodeficiency virus 1; Murid herpesvirus 4,Non-coding RNA profiling by array; Expression profiling by array,NoData,GPL7722 GPL10128,12,GSE27100,GSE27100
